text,source
"السلام عليكم ورحمة الله 
صباح الخير عليكم 💙

حنبدأ بي قصة صغيرة كدا ليها علاقة بي موضوع اتكلمنا عنو زمان 

هو شنو خليكم متابعين 💞🤍",drugawareness
"السلام عليكم ورحمة الله وبركاته 
اسعد الله نهاركم بكل خير ✨💞 

ناسف على الانقطاع الحصل في الفترة افاتت بسبب ظروف خارجة عن ارادتنا ✨
حنرجع تاني ان شاء الله خلال اليومين الجايات ديل باذن الله فخليكم قريبين💞🤍",drugawareness
لقبت زول يا شباب شكرا ليكم🤍,drugawareness
"السلام عليكم ورحمة الله وبركاته ✨
مساء الخير عليكم 🤍 حنرجع قريب بإذن الله✨

حاليا محتاج لي زول مفترغ او شبه متفرغ يكون ماسك قناة الواتس وينزل فيها المعلومات اول بي اول ♥️ 
المهمة بسيطة او منشور ينزل هنا يعنل ليه كوبي بيست هناك وبس✨ 
اذا في زول شايف نفسو قدر المهمة دي يتواصل معاي عشان اديه ادمن في القناة وشكرا ليكم♥️",drugawareness
"للناس الدخلت جديد 
الادوية التي تم شرحها :- 
١. سامكسون
٢. بروتك او السيفيبيم 
٣. الفلاجيل
٤. البنادول 
٥. أوستيو كير 
٦. ميروبينم
٧. جنتامايسين 
٨. اللازكس 
٩. بانتوبرازول 
١٠. فنتولين
١١. ماكزيل 
١٢. أسبرين 
١٣. اجيال السيفالوسبورين 
١٤. عوائل المضادات الحيوية 
١٥. عائلة البنسلينات 
١٦. الأموكسيسيلين 
١٧. الأموكلان
١٨. الميتفورمين 
١٩. ليفوفلوكساسين 
٢٠. سيبروفلوكساسين 
٢١. الانتي هستامين (حبوب الحساسية)
٢٢. الأوندان استيرون
٢٣. الميتوكلوبرومايد 
٢٤. مضادات التخثر 
٢٥. مضادات الصفيحات
٢٦. مضادات التجلط
٢٧. الهيدروكورتيزون
٢٨. ملح التروية 
٢٩. ميبيندازول
٣٠. اتروبين
٣١. دوبيوتامين
٣٢. دوبامين
٣٣. ادرينالين
٣٤. ليدوكايين
٣٥. نيتروجلسرين
٣٦. دايجوكسين
٣٧. انديرال



الحالات المرضية التم شرحها :- 
١. مرض ابو عديلات
٢. الكوليرا 
٣. الاسهال
٤. الاستفراغ 
٥. الكحة


مواضيع أخرى تم شرحها :-
١. كيف تكسر انبولة الدواء بي امان ؟
٢. كيف تقرا الروشتة ؟
٣. افضل درب لغيار الجروح ؟
٤. آلام الدورة الشهرية 
٥. لبن الغنم 
٦. هل مريض السكر بيعرف قبل ما يغمى عليه؟
٧. التصرف الصحيح مع لدغة العقرب او عضة الثعبان؟ 
٨. التسمين باستخدام حبوب النجمة 


عشان الكلام ما يكتر وكدا بالنسبة للناس الدخلو جداد ادخلو القناة ✨

قناة التلغرام 
https://t.me/drugawareness

قروب الواتس
https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8",drugawareness
"السلام عليكم ورحمة الله وبركاته 
نهاركم سعيد🤍

حنوقف نشر مؤقتا كدا لترتيب الاوضاع ✨ 
ارجعو راجعو الحاجات الرسلناها قبل كدا متوفرة في قناة الواتس والتلغرام 🤍",drugawareness
"🟢علاج الديدان الدبوسية للكبار حبة واحدة فقط من دواء ""مبيندازول Mebendazole"" تركيز 100 ملجم، تكرر الجرعة بعد أسبوعين.
يعني حبة الآن وحبة بعد أسبوعين.

🔸وللأطفال: 
✓من عمر سنتين فما فوق: أيضًا حبة واحدة من دواء ""مبيندازول Mebendazole"" تركيز 100 ملجم، يمكن تذويبها في الماء واعطاءها للطفل، تكرر الجرعة بعد أسبوعين.
يعني برضو حبة الآن وحبة بعد أسبوعين مثل الكبار.
-أو: 5 مل الآن من دواء ""مبيندازول تركيز 100 ملجم/5 مل"" شَرَاب، حيث تحتوي الـ 5 مل على 100 ملجم من الدواء ""نفس تركيز الحبة"".
و5 مل بعد أسبوعين.

✓بالنسبة للأطفال الأعمارهم أقل من سنتين؛ يحتاج الطبيب أن يقرر اعطاءهم دواء مبيندازول لعلاج الديدان الدبوسية أو عدم اعطائهم؛ بناءً على قياس الأخطار والفوائد.

📌الخيار الأول للعلاج هو دواء (مبيندازول Mebendazole) ويعطى بجرعة 100 ملجم (جرعة واحدة single dose)، لجميع الأعمار من سنتين فما فوق.

👈""تختلف الجرعة طبعًا في حال الإصابة بأنواع أخرى من الديدان"".

📌الدواء يقضي على الديدان لكن لا يقضي على البيض الذي تتركه الديدان داخل الأمعاء.. 
تكرر الجرعة بعد (أسبوعين) وليس أسبوع كما هو شائع، وذلك لضمان القضاء على كل الديدان الجديدة الخارجة من البيض.

📌بعض التوصيات تشير إلى ضرورة علاج جميع أفراد المنزل الذي فيه المصاب حتى أولئك الذين لا تظهر عليهم أعراض.
وهناك توصيات إنو في حال تكرار الإصابة في المدارس أو في فصل معين داخل المدرسة، إذا حالات الإصابة اتخطت نسبة معينة فدا بيستوجب علاج جميع الفصل.

✓دواء (مبيندازول) يتداخل مع بعض الأدوية الأخرى مثل (التقريتول) و(الفينيتوين) و(الفلاجيل)، بعض هذه التداخلات قد تنتج عنها آثارًا ضارة، يجب استشارة الصيدلي قبل تناول أي علاج آخر مع المبيندازول.

-توجد خيارات أخرى لعلاج الديدان الدبوسية في حال عدم توافر المبندازول أو استبعاده أو فشل العلاج به.

🔸أعراض الإصابة بالديدان الدبوسية: 

قد تكون هناك حكة في فتحة الشرج خصوصًا لدى الأطفال، ألم في البطن، ضعف الشهية، اضطرابات في النوم، حكة في المهبل الذي قد تنتقل إليه الديدان أيضًا..
👈لكن الكثير جدًا من المصابين (الغالبية) لا تظهر عليهم أعراض.

🔸المريض بعد العلاج معرض برضو لتكرار الإصابة لو اتعرض تاني لحاجة ملوثة ببيض الديدان الدبوسية، وكذلك أفراد المنزل الفيهو المصاب معرضين للعدوى من المصاب المعاهم..

الديدان تترك بيضها على حواف منطقة الشرج، تواجد البيض في هذه المنطقة يسبب شعورًا بالحكة، المصابون وخصوصًا الأطفال يقومون بحك هذه المنطقة وبالتالي ينقلون البيض عبر أظافرهم إلى الطعام والشراب والمحيط.. فيكون الأطفال من حولهم في المدرسة وكذلك افراد البيت معرضون للعدوى.

🔸عشان كدا دايمًا مع صرف العلاج بنوصي بالتالي: 

يجب غسل أيدي المصاب والأشخاص من حوله جيدًا بالصابون قبل الأكل وبعد الحمام، تقليم الأظافر، غسل الطعام وتنظيف الماء والخضروات والأواني، الاستحمام يوميًا صباحًا وتغيير الملابس خصوصًا الملابس الداخلية وغسلها بالماء الساخن والصابون وتجفيفها تحت أشعة الشمس، غسل الملاءات أيضًا بالماء الساخن يوميًا وتجفيفها.

الإجراءات دي إذا تم تطبيقها حنوقف تكرار الإصابة بالديدان لنفس الفرد، وحنوقف انتقال الديدان من شخص إلى آخر داخل المنزل.
 
✍️منقول
🔺Ref: 

-CDC
-NHS
-BNF
-Medscape



https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8

#لجنة_الدولاب
#المكتب_الاجتماعي 
#فرعية_دنقلا 
#منظمة_دعم_المرضى",drugawareness
الغالبية قالو اسي فحنزلو اسي وبكرة ما حيكون في شي✨,drugawareness
"في موضوع عن الديدان الدبوسية وعلاجها جاهز✨
انزلو ليكم اسي👍 ولا اخليه بكرة👎 ؟",drugawareness
"♦️3 ادوية مشهورين في توسيع الشعب الهوائية بنستخدمهم في عمل جلسات #النيبولايزر وهم:⬇️

🔷اول دواء (Atrovent) اتروفنت 
🔷تاني دواء (Farcolin) فاركولين
🔷تالت دواء (Pulmicort ) بلمكورت

كلهم بنستخدمهم في حالات الـ (bronchial asthma) الربو القصبي علشان بيعمل (bronchial dilatation) توسع الشعب الهوائية

#خدبالك:
💠 #دواء (#Atrovent) اتروفنت
• من ادوية (anticholinergic drug) مضادات الكولين ومش بيسبب زيادة في ضربات القلب وعشان كده هو امن اكتر من الفاركولين
•ولازم ثبت الماسك علي العيان كويس وخلي بالك بلاش البخار يدخل في عين العيان عشان بيعمل (blurred vision) تشوه في الرؤية وبيأثر علي العين

💠 #دواء (#Farcolin) فاركولين
• يفضل عدم استخدامه مع مرضي القلب عشان بيزود ضربات القلب و بيعمل رعشة مع بعض الناس

💠 #دواء (#Pulmicort ) بلمكورت
• خلي بالك منه عشان حساس للضوء وبيترج قبل التحضير ومينفعش يتركن اكتر من ربع ساعة وهو مفتوح
• وبيمنع حدوث ( inflammatory) اللتهابات وبالتالي بيقلل عدد مرات حدوث الـ ( asthma) الازمة

https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8

#لجنة_الدولاب
#المكتب_الاجتماعي 
#فرعية_دنقلا 
#منظمة_دعم_المرضى",drugawareness
"السلام عليكم ورحمة الله وبركاته 💙

حنتكلم عن حاجة ظريفة وخفيفة وسريعة كدا🤍",drugawareness
*﴿إِنَّ اللَّهَ وَمَلائِكَتَهُ يُصَلّونَ عَلَى النَّبِيِّ يا أَيُّهَا الَّذينَ آمَنوا صَلّوا عَلَيهِ وَسَلِّموا تَسليمًا﴾* ♥️,drugawareness
